@relation training-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-N5-F1

@attribute SeriousDlqin2yrs {0,1}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30_59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60_89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
0,0.033179,47,0,2778,?,10,0,1,0,0
0,0.123977,36,0,0.141858,1000,16,0,0,0,0
0,0.021261,72,0,0.002723,2570,3,0,0,0,0
0,0.938429,29,0,0.691745,3960,14,0,2,0,2
0,0.91109,46,0,0.204243,9850,10,0,0,0,3
0,0,57,0,0.18134,6848,10,0,1,0,1
0,0.039782,68,0,0.259384,17583,12,0,2,0,0
0,0.001865,58,0,2835,?,12,0,3,0,0
0,1,53,0,0.089264,4200,1,0,0,0,0
0,0.017065,75,0,639,?,7,0,1,0,0
0,0.984816,58,0,1.221125,2631,14,0,2,0,0
0,0.297533,52,0,0.496485,6400,7,0,3,0,1
0,0.086079,74,0,0.291451,6000,12,0,1,0,0
0,0.000435,63,0,0.213393,2000,7,0,1,0,0
0,0.430202,52,0,0.225018,4132,7,0,0,0,0
0,0.750239,51,0,0.69495,5385,9,0,3,0,3
0,0.088281,72,0,0.018977,2423,4,0,0,0,0
0,0.17983,69,1,1.096621,2100,29,0,2,0,1
0,0.003175,44,0,0.367863,10000,7,1,2,0,3
0,0.001398,55,0,0.174915,7980,5,0,1,0,1
0,0.051676,59,0,0.630744,9900,11,0,2,0,1
0,0.702325,80,1,0.239694,7592,9,0,1,0,0
0,0.771846,33,0,0.85243,5000,7,0,3,0,0
0,0.018999,88,0,11,?,1,0,0,0,?
0,0.101057,79,0,1554,?,6,0,2,0,0
0,1,60,0,2265,?,3,0,2,0,0
0,0.141559,49,1,0.374371,5758,7,1,2,1,3
0,0,81,0,0,2641,5,0,0,0,0
0,0.179077,56,0,4630,0,6,0,2,0,2
0,0.115512,59,0,0.143093,10300,7,0,1,0,0
0,0.024182,39,0,0.028415,10416,2,0,0,0,0
0,0.66918,54,0,0.645989,13750,19,0,2,0,0
0,0.828945,64,1,0.374591,13750,9,0,2,0,0
0,0.186616,40,0,0.432821,6050,8,0,1,0,3
0,0.610368,24,0,0.107841,5980,6,0,0,0,0
0,0.01603,52,0,0.026933,1150,3,0,0,0,2
0,0.5936,60,0,0.219407,8800,6,0,1,0,0
0,0.167898,44,0,0.35205,4683,8,0,1,0,3
0,0,61,0,0.000755,5300,6,0,0,0,0
0,0.220459,44,0,0.101922,5150,12,0,0,0,0
0,0.092381,69,0,0.332303,5500,9,0,1,0,0
0,0.838216,52,0,0.267323,11472,8,0,1,0,2
0,0.18713,42,0,0.431813,4230,16,0,1,0,2
0,0,66,0,708,?,18,0,1,0,0
0,1,46,0,0.288876,3343,6,1,1,0,2
0,0.004596,76,0,0.35369,2357,11,0,1,0,0
0,0.03178,52,0,1801,?,5,0,1,0,0
0,0.229803,56,0,2012.5,1,9,0,3,0,0
0,0,71,0,910,?,3,0,1,0,0
0,0.750729,68,0,0.18207,2888,9,0,1,0,0
0,0.184258,42,0,0.54464,2900,5,0,1,0,0
0,0.000324,57,0,0.30988,12833,13,0,2,0,2
0,0.05537,71,0,833,?,11,0,1,0,0
0,0.051618,41,0,0.411186,6400,7,0,2,0,2
0,0.268475,51,0,2332,?,15,0,2,0,0
0,0.623591,50,0,0.428679,19916,8,0,1,0,3
0,1,48,1,0.228625,4233,4,0,1,0,0
0,0.087833,55,0,187,1,7,0,0,0,0
0,1.028413,49,1,0.662169,2000,8,0,0,0,0
0,0.053296,46,0,0.243108,7000,9,0,1,0,3
0,0.090614,45,0,0.254485,8750,7,0,3,0,4
0,0.02499,43,0,1161.5,1,9,0,2,0,3
0,0.001785,78,0,0.000476,10500,6,0,0,0,0
0,0.111299,56,0,0.087235,14500,6,1,1,0,4
0,0.469136,23,0,0.091939,2294,2,0,0,0,1
0,0.129109,30,0,836,?,3,0,1,0,0
0,0,69,0,248,?,8,0,0,0,0
0,0.000648,44,0,0.310545,3100,5,0,1,0,2
0,0.09559,42,0,0.300677,9900,8,0,1,0,5
0,0,37,0,0.1743,7859,7,0,1,0,1
0,0.111989,37,0,0.729568,4000,4,0,1,0,1
0,1,39,0,0.070158,12200,5,0,1,0,2
0,0.09167,33,0,2.021978,1000,5,0,1,0,0
0,0.454695,68,0,0.351752,13500,23,0,2,0,0
0,0.785231,43,0,0.580271,3618,8,0,0,0,2
0,0.036908,45,0,0.449368,6250,13,0,1,0,3
0,0.952656,48,1,0.693252,2770,5,0,1,0,1
0,0.279908,33,1,0.396631,5460,8,0,2,0,1
0,1,28,0,0,?,0,1,0,0,0
0,0.044949,55,1,1.596185,3040,35,0,1,0,0
0,0.044818,52,0,0.223165,5300,16,0,1,0,1
0,0.515934,61,0,3062,?,6,0,1,0,?
0,0.017666,66,0,0.445235,702,18,0,0,0,0
0,0.599914,37,0,0.086808,4100,5,0,0,0,2
0,0,50,0,0.352984,9600,9,0,2,0,0
0,0.00453,79,0,0.217311,3800,11,0,0,0,0
0,0.063446,65,0,2427,?,6,0,2,0,?
0,0,46,0,3075,?,8,0,2,0,?
0,0.528847,61,0,0.274902,3302,8,0,1,0,0
0,0.927507,53,0,0.318934,2777,4,0,0,0,1
0,0.205769,76,0,0.211366,5700,20,0,1,0,0
0,0.460502,66,0,0.325687,6625,6,0,1,0,1
0,0.003396,61,0,2,?,5,0,0,0,?
0,0.479561,69,0,0.391004,14050,21,0,2,0,2
0,0.102367,57,0,0.09588,8833,6,0,1,0,1
0,0.758981,60,0,0.125714,4549,4,0,0,0,1
0,0.367663,49,0,0.461791,7000,11,0,4,0,2
0,0.000465,63,0,0,10196,5,0,0,0,0
0,0.052733,41,1,0.292815,7000,7,0,1,0,2
0,1,27,0,0.034075,2200,0,4,0,0,0
0,0.101095,32,0,160,?,5,0,0,0,0
0,0.000943,61,0,71,?,6,0,0,0,?
0,0,76,0,0,6667,10,0,0,0,0
0,0.047812,50,0,3785,?,9,0,4,0,0
0,0.894472,50,0,0.251583,3000,3,0,0,0,1
0,0.928191,37,0,535,?,5,0,0,0,0
0,1,37,2,2146,?,5,1,1,0,?
0,0.288425,77,0,0.533965,2531,8,0,1,0,0
0,1,39,0,0,?,0,0,0,0,0
0,0,84,0,0,?,7,0,0,0,0
0,0.044151,66,0,0.215234,5500,13,0,1,0,1
0,0.141225,27,0,0.092727,4000,4,0,0,0,1
0,0.026332,48,1,0.340079,8350,15,0,1,0,0
0,0.214052,32,0,0.356975,14000,5,0,2,1,2
0,0.371546,35,0,0.28036,2000,8,0,0,0,0
0,0.00482,45,0,0.206953,8600,11,0,2,0,2
0,2.308458,32,1,0.089264,4200,2,0,0,0,2
0,0.140503,48,1,1.196634,6000,13,0,3,0,2
0,0.941521,46,3,0.274216,8000,8,1,1,3,3
0,0.039297,56,0,3318,?,9,0,3,0,1
0,0,29,0,0.013863,3750,5,0,0,0,0
0,0.146171,54,0,4986,?,7,0,2,0,0
0,0.030054,53,0,0.004782,10037,3,0,0,0,0
0,0.002342,55,0,0.221552,7293,6,0,2,0,1
0,0.598017,56,0,0.298651,16453,21,0,1,0,3
0,0.026499,49,0,22,?,4,0,0,0,?
0,0.216247,48,0,0.303355,1400,7,0,1,0,0
0,0.516625,61,1,0.555057,7800,17,0,3,0,0
0,0.036575,68,1,0.305424,4000,10,0,1,0,0
0,0.66526,34,0,0.628059,2900,10,0,0,0,0
0,1,37,1,0.253213,2100,3,0,0,0,0
0,0.268827,43,0,1297.5,1,10,0,2,0,0
0,0.033,65,0,1497,?,8,0,1,0,?
0,0.124225,54,0,0.213982,12000,16,0,2,0,0
0,0.085249,67,0,0.87137,4166,9,0,1,0,0
0,0.326632,53,0,0.310153,4500,9,0,1,0,0
0,0.625354,49,0,2269,?,8,0,1,0,0
0,0.016023,82,0,0.003599,3333,6,0,0,0,0
0,0.019233,75,0,0.009239,3246,4,0,0,0,0
0,0.34913,61,0,0.205237,18100,12,0,2,0,0
0,0.063711,65,0,1433,?,5,0,1,0,1
0,0.746895,45,0,0.769832,6264,15,0,2,0,1
0,0.98698,77,0,0.637536,10000,8,0,2,0,0
0,0.170093,44,0,0.212889,5523,17,0,0,0,1
0,0.221889,31,0,0.10185,5350,2,0,0,0,0
0,0.07009,62,0,0.573476,3000,13,0,1,0,0
0,0.092778,55,0,0.936688,3000,11,0,2,0,0
0,0.013159,50,0,9,?,4,0,0,0,0
0,0.261375,55,0,0.516824,5200,13,0,2,0,1
0,0.038994,67,0,0.0014,5000,6,0,0,0,0
0,0.255353,38,0,0.328534,5000,11,0,1,0,1
0,0.020734,43,0,0.129374,5000,4,0,0,0,2
0,0.040501,68,0,0.150882,5500,12,0,1,0,1
0,0.014561,57,0,0.34185,14716,6,0,1,0,2
0,0.75839,42,0,0.43138,10885,10,0,3,0,2
0,0.422577,64,0,0.010995,2000,3,0,0,0,0
0,0,77,0,83,?,1,0,0,0,0
0,0,38,0,0.255257,6800,8,0,2,0,4
0,0.309618,42,0,0.921414,4300,11,0,1,0,1
0,0.008006,61,0,0.003129,2556,3,0,0,0,0
0,0.106219,55,0,99,?,6,0,0,0,?
0,0.87956,48,0,52,?,1,0,0,0,?
0,0.566083,54,0,0.59098,4500,20,0,2,0,1
0,0.768846,26,0,0.059781,4850,2,0,0,0,1
0,0.037999,62,0,0.170023,9533,5,0,1,0,0
0,0.322795,36,1,0.191891,2860,5,0,0,0,0
0,0.226673,41,0,0.317614,6000,7,0,0,0,1
0,0.49314,45,0,0.408945,9680,5,0,2,0,4
0,0.27571,61,0,1867,?,16,0,1,0,1
0,0.050797,34,0,0.411674,7811,14,0,2,0,2
0,0.026517,62,0,137,?,5,0,1,0,0
0,0.040091,66,0,0.115342,6250,4,0,1,0,0
0,0.06692,27,0,0.154565,6100,6,0,1,2,1
0,0.014787,76,0,0.02234,1700,21,0,0,0,0
0,0.095019,56,0,0.228749,26574,11,0,2,0,1
0,0.13459,53,0,0.575542,10000,15,0,3,0,0
0,0.200745,46,0,0.369363,7650,7,0,2,0,3
0,0.000545,58,0,1880,?,4,0,1,0,0
0,0.06343,43,0,0.4,5829,8,0,1,0,3
0,0.221557,59,0,0.008398,5000,2,0,0,1,0
0,0.159028,48,0,1.05038,2500,13,0,1,0,0
0,0.035084,47,0,0.321052,5400,11,0,2,0,1
0,0.0106,50,0,2637,?,7,0,1,0,0
0,0.560236,75,0,0.751974,1519,6,0,1,0,0
0,0,61,0,0,?,1,0,0,0,0
0,0.003333,52,0,2097,?,8,0,1,0,0
0,0.061747,76,0,0.808135,8333,14,1,3,0,1
0,0.840764,30,0,0.254949,5000,11,0,0,0,0
0,0.092013,49,0,0.353609,13480,16,0,4,0,2
0,0.376826,50,1,15123,?,18,0,9,0,0
0,0.062865,74,0,84,?,6,0,0,0,0
0,0,28,0,0.271217,2226,5,0,0,0,0
0,0.014814,48,0,0.260568,10100,5,0,1,0,2
0,0.073061,66,0,7571,?,7,0,3,0,0
0,0.396672,57,0,0.338425,7200,8,0,2,0,3
0,0.110756,63,0,0.230316,5600,4,0,1,0,0
0,0.001607,67,0,0.133457,4300,7,0,0,0,0
0,0.53788,45,0,0.193252,8920,9,0,1,0,3
0,1,65,0,1555,?,5,0,1,0,0
0,0.932569,54,0,2755,?,5,0,1,0,0
0,0.03649,64,0,0.325174,8333,12,0,1,0,1
0,0,50,0,177,?,5,0,0,0,1
0,0.016556,39,0,0.009099,10000,10,0,0,0,0
0,0.009057,69,0,6,?,4,0,0,0,0
0,0.033663,64,0,0.026228,2401,10,0,0,0,0
0,0.019447,85,0,0.00143,5593,4,0,0,0,0
0,0.128833,45,0,0.502314,4104,5,0,1,0,0
0,0.02978,64,0,0.322422,7300,9,0,1,0,1
0,0.505954,44,0,0.152919,6800,5,0,0,0,2
0,1.029725,44,0,0.56981,3000,5,0,0,0,1
0,0.222079,35,0,1657,0,9,0,1,0,2
0,0.118444,35,0,0.377386,5500,14,0,1,0,2
0,0.434255,57,0,0.403372,3083,5,0,0,2,0
0,0.141695,49,0,0.099074,5833,6,0,0,0,2
0,0.020758,24,0,0.882604,936,10,0,0,0,0
0,0,50,0,1068,?,12,0,0,0,0
0,0.008123,87,0,0.15025,3400,6,0,1,0,0
0,0.196429,66,0,0.211789,10500,11,0,1,0,5
0,0.141598,70,0,0.016662,3600,4,0,0,0,0
0,0.621897,59,0,0.126816,9083,3,0,0,0,0
0,0.079202,48,0,0.042748,6666,21,0,0,0,2
0,0.508033,39,0,2.530303,725,5,0,2,0,0
0,0.241724,29,0,465,?,2,0,0,0,?
0,0.899692,51,0,0.329139,10013,5,0,1,0,2
0,0.032373,59,0,2126,?,15,0,1,0,0
0,0.158678,65,0,0.463799,2858,17,0,1,0,0
0,0.626198,25,0,0.121383,4250,5,0,0,0,0
0,1.081836,35,3,0.291469,3375,3,12,1,0,2
0,0.030798,74,0,18,?,5,0,0,0,0
0,0,66,0,0.1984,12000,5,0,1,0,3
0,1,93,0,6,?,1,0,0,0,1
0,0.099939,37,0,814,?,5,0,0,0,0
0,0.548679,48,0,0.199205,3523,2,0,0,0,0
0,0.024748,30,0,0.002908,2750,5,0,0,0,0
0,0,75,0,0,3390,3,0,0,0,0
0,0.163436,53,0,0.042107,4915,4,0,0,0,1
0,0.023639,42,0,2834,?,6,0,2,0,0
0,0.019204,80,0,0.111955,5001,8,0,1,0,0
0,0.031803,43,0,0.363585,25000,10,0,3,0,0
0,0.953721,44,0,0.466505,7000,7,0,1,0,1
0,0.214086,51,0,0.234353,5000,9,0,1,0,0
0,0.076912,58,0,0.243525,18416,8,0,3,0,1
0,0.117034,63,0,0.017345,9166,7,0,0,0,1
0,0.05554,65,0,720,?,4,0,1,0,0
0,0.056481,67,0,0.01866,3000,3,0,0,0,0
0,1,42,0,0.091954,2000,0,0,0,0,0
0,0.051053,68,0,98,?,5,0,0,0,0
0,0.668833,49,0,0.427704,2800,9,0,1,0,1
0,0,87,0,0,?,1,0,0,0,0
0,0.003091,68,0,0.000364,5500,2,0,0,0,1
0,0.094095,56,0,0.299511,12683,8,0,3,0,0
0,0.0009,45,0,0.365368,3516,10,0,1,0,0
0,0.88384,48,0,0.254343,8000,6,0,1,0,1
0,0.013074,46,0,0.621038,10000,13,0,4,0,0
0,0.129924,29,0,0.084644,6166,5,0,0,0,0
0,0.054231,70,0,0.419486,4166,6,0,2,0,0
0,0.176769,65,0,1.048773,3300,12,0,3,0,0
0,0.686018,39,0,0.287622,14000,19,0,1,0,0
0,0.162871,63,0,45,?,2,0,0,0,0
0,0.892582,33,0,0.442688,4300,8,0,1,0,0
0,0.105649,29,1,0.265877,6250,8,0,1,0,0
0,0.052176,78,0,0.054111,5691,11,0,1,0,0
0,0.06199,79,0,0.288562,5166,9,0,1,0,0
0,0.015433,52,0,1802,0,13,0,2,0,2
0,0.922454,49,0,0.808858,5147,7,0,1,0,2
0,0.074421,75,0,0.136748,6500,4,0,1,0,0
0,1,56,0,1815,?,7,0,1,0,0
0,1,51,0,0.465468,5284,3,0,1,0,0
0,0.014822,40,0,0.0012,2500,4,0,0,0,0
0,0.764028,33,0,0.513497,5000,12,0,1,0,2
0,0.900329,58,0,0.221651,4664,8,0,0,0,0
0,0.554531,47,0,0.262516,14600,10,0,2,0,0
0,0.045852,72,0,0.103234,8688,9,0,0,0,0
0,0.47292,54,0,0.250387,4520,12,0,0,0,1
0,0.065597,72,0,2306,?,3,0,1,0,0
0,0.065826,61,0,2.771229,1000,6,0,1,0,0
0,0.127626,78,0,0.504837,2790,11,0,1,0,1
0,0.030666,35,0,0.314014,4623,6,0,1,0,0
0,0.03457,82,0,0.094517,3300,14,0,1,0,0
0,0.047699,46,0,0.447989,4450,11,0,1,0,0
0,0,86,0,0,3250,5,0,0,0,0
0,0.272859,67,0,0.242075,8422,5,0,2,0,1
0,0.516903,43,0,0.259891,3866,11,0,0,0,1
0,0.161374,41,0,0.366573,3900,8,0,2,1,2
0,0.021535,44,0,0.603561,3200,6,0,2,0,2
0,0.808175,65,0,0.390706,5013,9,0,1,0,0
0,0.203305,41,0,0.661667,8600,26,0,3,0,0
0,0.025482,64,0,3516,?,26,0,2,0,0
0,1,40,0,0.837236,5166,5,0,1,0,4
0,0.012716,50,0,0.343953,8599,13,0,2,0,2
0,0.050024,56,0,0.021798,10000,7,0,0,0,2
0,0.037746,58,0,0.173092,9000,8,0,1,0,0
0,0.026126,56,0,5013,?,19,0,3,0,2
0,0.524097,62,0,0.273453,7269,12,0,0,0,0
0,1,40,0,0.131161,10833,4,0,1,0,2
0,0.94673,60,1,0.378535,5692,6,1,1,0,1
0,0.854835,62,0,5671,?,16,0,1,0,0
0,0.246803,41,2,0.106579,5000,9,0,0,0,5
0,0.962085,66,0,0.589002,4600,12,0,1,0,0
0,0.148648,55,0,0.697041,5508,15,0,2,0,0
0,0.062913,39,1,0.603198,2000,10,0,1,0,0
0,0.176047,44,1,0.527443,4900,14,0,2,0,0
0,0.700201,52,1,0.385907,6016,6,0,1,0,2
0,0.029848,63,0,0.070838,12450,9,0,1,0,2
0,0.002126,64,0,0.175153,5400,5,0,1,0,0
0,0.057208,44,0,3492,?,6,0,1,0,0
0,0.38961,29,0,0.396618,1300,5,0,0,0,0
0,0.193681,37,0,3006,?,13,0,1,0,0
0,0.049113,64,0,7.788553,4000,6,0,1,0,0
0,0.084311,46,0,0.011884,4543,6,0,0,0,0
0,0.058711,80,0,0.359686,3060,15,0,1,0,0
0,0.003158,53,0,0.110354,14380,12,0,2,0,1
0,0.118165,68,0,0.084806,5600,8,0,0,0,0
0,1,45,0,1448,?,8,0,1,0,0
0,0,34,0,66,?,13,0,0,0,0
0,0,46,0,0.161026,7917,9,0,0,0,1
0,0.166944,47,0,0.183576,10289,8,0,2,0,3
0,0.122739,49,1,0.149508,8333,10,0,1,1,0
0,0.070846,38,0,0.63436,4900,6,0,1,0,2
0,0.458608,64,1,0.132348,9814,9,0,0,0,1
0,0.967802,40,1,0.243231,10820,4,0,1,1,4
0,0.930369,38,0,0.167682,3118,5,0,0,0,6
0,0.130652,27,0,0.540394,3700,10,0,1,0,0
0,0.232477,49,0,0.06425,7999,6,0,0,0,2
0,0.229844,62,0,5796,?,14,0,5,0,0
0,1,53,0,0.102674,10995,7,0,0,0,2
0,0.056239,40,3,0.501854,4853,11,0,1,0,3
0,0,52,0,0.338733,20000,11,0,6,0,2
0,0.084431,34,0,0.297135,1500,4,0,0,0,0
0,0.063111,59,0,0.444548,4300,6,0,2,0,1
0,0.494212,55,0,0.412094,12700,21,0,2,0,2
0,0.128706,61,0,0.790269,4500,24,0,4,0,0
0,0.675922,38,0,0.050728,6800,6,0,0,2,1
0,1,24,0,0,?,0,0,0,0,?
0,0.281356,81,0,0.365745,2930,8,0,2,0,0
0,0.081272,58,0,1.511048,2805,16,0,2,0,0
0,0.000117,75,0,18,0,9,0,0,0,0
0,0.269109,36,0,0.264898,2600,5,0,0,0,2
0,0.039999,63,0,525,?,6,0,1,0,0
0,0.007194,41,0,0.679935,10500,28,0,8,0,0
0,0.516849,74,0,0.501585,6622,11,0,4,0,1
0,0.068228,36,0,0.818041,7083,13,0,2,0,0
0,0.467022,45,1,0.205272,3565,3,0,0,0,0
0,0.003867,47,0,0.099803,9658,8,0,1,0,0
0,0.092653,69,0,0.193784,8333,11,0,2,0,1
0,0.049288,64,0,0.145374,6300,5,0,1,0,0
0,0.527005,38,1,0.825544,4000,12,0,1,0,2
0,0.38391,32,0,1101,?,10,0,1,0,0
0,0.037599,60,0,0.280539,6900,22,0,1,0,1
0,0.1551,29,0,0.273003,5933,14,0,2,0,0
0,0.232437,34,0,0.328077,2916,8,0,0,0,0
0,0.191254,52,0,0.321033,5500,8,0,2,0,3
0,0,33,0,0.301166,5833,5,0,2,0,0
0,0.055033,66,0,0.152881,11400,9,0,1,0,4
0,0,62,0,0.066964,3583,10,0,0,0,0
0,0.156035,51,0,0.542247,5100,9,0,1,0,5
0,0.020384,86,0,0.014395,2083,6,0,0,0,0
0,0.236836,44,1,0.326095,8518,6,0,1,0,1
0,0.981214,40,0,0.28234,17400,7,0,2,0,3
0,0.000393,67,0,0,?,7,0,0,0,0
0,0.893501,30,0,0.280379,1900,4,0,0,0,0
0,0.24171,37,0,0.267061,12000,15,0,2,0,0
0,1,81,0,0,1782,0,0,0,0,0
0,0.00325,54,0,0.222655,4360,5,0,0,0,3
0,0.025595,50,0,0.342331,8520,12,0,2,0,0
0,0.079342,68,1,0.330593,7053,17,0,1,0,0
0,0.118701,62,0,0.294958,7000,7,0,1,0,2
0,0.191205,51,0,0.135382,7452,8,0,1,0,0
0,0.082998,84,0,3.232919,7083,19,0,2,0,0
0,0.173112,42,0,0.457568,4300,11,0,1,0,3
0,0.053287,77,0,323,?,9,0,0,0,0
0,1,79,0,0,?,1,0,0,0,0
0,1,71,0,0.097401,3500,1,0,0,0,0
0,0.396862,41,2,560,?,7,1,0,0,0
0,0.078248,52,0,0.269655,4082,8,0,1,0,1
0,0.181985,63,0,622,?,4,0,1,0,0
0,0.008301,77,0,0.091003,2900,8,0,0,0,1
0,0.009129,70,0,0.128387,10000,14,0,1,0,0
0,1,60,0,0,4100,1,0,0,0,0
0,0.029074,87,0,0.019103,97000,5,0,1,0,0
0,0,36,0,3172,?,16,0,1,0,3
0,0.004799,70,0,0.004909,2240,5,0,0,0,1
0,0.387871,53,1,0.392292,5500,17,0,0,0,0
0,0.256359,34,0,1.244488,2040,12,0,1,0,2
0,0.177255,38,0,0.368204,8000,12,0,2,0,0
0,0.535832,46,0,0.372151,6800,13,0,2,0,2
0,0.048198,51,0,0.144104,13170,13,0,2,0,1
0,0,42,0,0.355265,7416,12,0,2,0,2
0,0.001046,73,0,0.000349,5728,5,0,0,0,1
0,0.003222,67,0,2,?,2,0,0,0,0
0,0.193275,48,0,0.311359,9040,8,0,2,0,3
0,0.111994,85,0,0.011927,5449,4,0,0,0,0
0,0,54,0,2800,?,10,0,2,0,0
0,0,68,0,215,?,22,0,0,0,0
0,0.090182,30,0,0.003713,3500,2,0,0,0,0
0,0.471172,51,0,1537,?,14,0,0,0,?
0,0.265154,40,0,0.576441,5500,16,0,1,0,0
0,0.065718,55,0,0.253169,13172,8,0,1,0,0
0,0.109271,65,0,0.53617,2819,13,0,1,0,0
0,0.013132,64,0,462,?,15,0,0,0,0
0,1,51,0,0.152832,3866,1,0,0,0,3
0,0,28,0,0.383847,1200,5,0,0,0,0
0,1,26,0,0,764,1,0,0,0,0
0,1,52,0,0.165814,18562,4,0,1,0,4
0,0,40,0,0,12500,5,0,0,0,3
0,0.019349,65,0,1879,?,12,0,1,0,0
0,0.050545,45,0,5.160623,7059,10,0,3,0,3
0,0.172428,80,0,1370,?,8,0,1,0,?
0,0.047655,79,0,102,?,6,0,0,0,0
0,0.032774,56,1,0.291807,6541,13,0,1,0,0
0,1,33,0,0.024169,4302,1,1,0,0,0
0,0.847827,37,0,0.318109,4356,4,0,0,0,3
0,0.13234,40,0,0.547866,2600,3,0,1,0,2
0,0,34,0,1.641914,2800,7,0,2,0,0
0,0.035976,52,0,0.835013,16667,12,0,2,0,2
0,0.001874,44,0,0.022127,55000,6,0,1,0,3
0,0.297174,28,0,0.398888,6116,10,0,2,0,0
0,0.238283,70,0,0.285226,7600,8,0,1,0,1
0,0.492642,51,2,0.586124,6240,10,0,1,1,0
0,0.05259,55,0,2821,?,7,0,2,0,0
0,0.064004,82,0,1754,?,15,0,1,0,0
0,0.077348,53,0,0.220637,7500,11,0,2,0,1
0,0.014833,69,0,0.176487,14000,7,0,1,0,0
0,0.002738,63,0,0.127716,1886,4,0,0,0,0
0,0,59,0,0.060699,8500,5,0,0,0,2
0,0.949251,44,0,0.904713,4900,6,0,2,0,2
0,0.180329,69,0,0.376424,10620,6,0,1,0,0
0,0.233798,31,0,659,?,7,0,1,0,0
0,0.045756,53,0,0.591746,4506,16,0,2,0,0
0,1,44,1,0.670829,880,5,1,0,2,0
0,0.101458,48,0,0.179647,8833,7,0,2,0,3
0,0.020937,84,0,0.008085,7544,9,0,0,0,0
0,0,50,0,1222,1,19,0,1,0,0
0,0.04454,45,0,3673,?,7,0,1,0,0
0,0,42,1,0.463895,6300,5,0,1,0,3
0,0.982866,45,0,1.143093,3633,9,0,3,0,2
0,0.637454,32,0,0.519494,3000,6,0,1,0,3
0,0.051402,55,0,0.394968,4212,12,0,2,0,0
0,0.024999,51,0,0.399924,13209,15,0,2,0,0
0,0.02172,61,0,0.656672,2000,7,0,1,0,0
0,0.013719,35,0,0.360271,1917,10,0,1,0,0
0,0.28854,47,0,0.271525,9000,12,0,2,0,3
0,1,47,0,2715,?,5,0,1,0,0
0,0.093332,70,1,0.218659,9914,18,0,2,0,0
